x1	x2	x3	x4	t
0.040438	-0.099161	0.837388	0.283990	78.000000
0.421255	0.053921	0.648473	0.307106	78.500000
0.679844	0.194764	0.390035	0.250564	79.000000
0.818184	0.302139	0.169376	0.177895	79.500000
0.853477	0.371744	-0.025589	0.099430	80.000000
0.793596	0.399913	-0.214378	0.010888	80.500000
0.637285	0.379249	-0.413865	-0.098208	81.000000
0.376460	0.295481	-0.630213	-0.243996	81.500000
0.017022	0.130591	-0.775075	-0.408068	82.000000
-0.344876	-0.086944	-0.629518	-0.431634	82.500000
-0.597001	-0.281058	-0.380973	-0.336968	83.000000
-0.732849	-0.421771	-0.169102	-0.225709	83.500000
-0.771092	-0.506704	0.012778	-0.113621	84.000000
-0.721859	-0.534217	0.183705	0.005614	84.500000
-0.586606	-0.497862	0.359137	0.144418	85.000000
-0.360516	-0.383576	0.545996	0.319971	85.500000
-0.047019	-0.172812	0.684435	0.516144	86.000000
0.278693	0.103754	0.575803	0.551110	86.500000
0.509244	0.349890	0.346370	0.422187	87.000000
0.631872	0.523680	0.151120	0.273688	87.500000
0.665789	0.624489	-0.011625	0.129975	88.000000
0.622602	0.653092	-0.159987	-0.017172	88.500000
0.505885	0.604371	-0.307659	-0.182151	89.000000
0.313862	0.464832	-0.460537	-0.383243	89.500000
0.050330	0.215772	-0.575967	-0.606836	90.000000
-0.225801	-0.111682	-0.490766	-0.657115	90.500000
-0.420587	-0.404477	-0.287456	-0.498787	91.000000
-0.519877	-0.607850	-0.116689	-0.316294	91.500000
-0.542827	-0.722712	0.020861	-0.144477	92.000000
-0.501704	-0.752450	0.142010	0.026619	92.500000
-0.401593	-0.693524	0.258299	0.213243	93.000000
-0.243403	-0.533334	0.373639	0.434587	93.500000
-0.032582	-0.253534	0.455868	0.679083	94.000000
0.184249	0.114921	0.380987	0.743930	94.500000
0.331701	0.446111	0.208541	0.561514	95.000000
0.399423	0.673363	0.069135	0.349915	95.500000
0.406232	0.798994	-0.037935	0.154835	96.000000
0.364290	0.829031	-0.127907	-0.035224	96.500000
0.279636	0.761644	-0.209793	-0.238101	97.000000
0.155488	0.585415	-0.284984	-0.473557	97.500000
-0.000550	0.282865	-0.327943	-0.731553	98.000000
-0.151305	-0.115472	-0.253173	-0.807875	98.500000
-0.242791	-0.474902	-0.114624	-0.606968	99.000000
-0.272859	-0.718941	-0.012087	-0.372384	99.500000
-0.259876	-0.851229	0.060354	-0.159847	100.000000
